,date,stock_code,prev,open,high,low,close,change
0,2024-01-02,ACES,720,725,730,710,715,-5
1,2024-01-02,AMRT,2930,2930,2940,2840,2890,-40
2,2024-01-02,ASII,5650,5625,5700,5575,5700,50
3,2024-01-02,HRUM,1335,1335,1380,1330,1380,45
4,2024-01-02,INKP,8325,8325,8500,8250,8350,25
5,2024-01-02,INTP,9400,9400,9500,9375,9425,25
6,2024-01-02,MAPI,1790,1800,1985,1800,1895,105
7,2024-01-02,SIDO,525,525,530,510,510,-15
8,2024-01-02,UNTR,22625,22600,23575,22600,23475,850
9,2024-01-02,UNVR,3530,3530,3550,3500,3550,20
10,2024-01-03,ACES,715,720,730,710,715,0
11,2024-01-03,AMRT,2890,2860,2890,2800,2820,-70
12,2024-01-03,ASII,5700,5700,5700,5600,5600,-100
13,2024-01-03,HRUM,1380,1355,1380,1340,1355,-25
14,2024-01-03,INKP,8350,8350,8500,8250,8475,125
15,2024-01-03,INTP,9425,9425,9450,9300,9300,-125
16,2024-01-03,MAPI,1895,1905,1955,1880,1900,5
17,2024-01-03,SIDO,510,510,525,505,525,15
18,2024-01-03,UNTR,23475,23200,23400,22600,23225,-250
19,2024-01-03,UNVR,3550,3550,3560,3520,3530,-20
20,2024-01-04,ACES,715,715,745,715,735,20
21,2024-01-04,AMRT,2820,2830,2870,2820,2870,50
22,2024-01-04,ASII,5600,5600,5750,5600,5700,100
23,2024-01-04,HRUM,1355,1360,1410,1360,1385,30
24,2024-01-04,INKP,8475,8525,8525,8350,8425,-50
25,2024-01-04,INTP,9300,9275,9400,9275,9325,25
26,2024-01-04,MAPI,1900,1910,1930,1865,1885,-15
27,2024-01-04,SIDO,525,525,525,515,520,-5
28,2024-01-04,UNTR,23225,23225,23500,23225,23275,50
29,2024-01-04,UNVR,3530,3530,3560,3520,3520,-10
30,2024-01-05,ACES,735,740,760,735,750,15
31,2024-01-05,AMRT,2870,2870,2870,2790,2790,-80
32,2024-01-05,ASII,5700,5725,5750,5625,5625,-75
33,2024-01-05,HRUM,1385,1385,1405,1370,1375,-10
34,2024-01-05,INKP,8425,8425,8450,8325,8375,-50
