,date,stock_code,prev,open,high,low,close,change
4,02 Jan 2024,ACES,720,725,730,710,715,-5
37,02 Jan 2024,AMRT,2930,2930,2940,2840,2890,-40
60,02 Jan 2024,ASII,5650,5625,5700,5575,5700,50
361,02 Jan 2024,HRUM,1335,1335,1380,1330,1380,45
394,02 Jan 2024,INKP,8325,8325,8500,8250,8350,25
402,02 Jan 2024,INTP,9400,9400,9500,9375,9425,25
513,02 Jan 2024,MAPI,1790,1800,1985,1800,1895,105
744,02 Jan 2024,SIDO,525,525,530,510,510,-15
864,02 Jan 2024,UNTR,22625,22600,23575,22600,23475,850
865,02 Jan 2024,UNVR,3530,3530,3550,3500,3550,20
4,03 Jan 2024,ACES,715,720,730,710,715,0
37,03 Jan 2024,AMRT,2890,2860,2890,2800,2820,-70
60,03 Jan 2024,ASII,5700,5700,5700,5600,5600,-100
361,03 Jan 2024,HRUM,1380,1355,1380,1340,1355,-25
394,03 Jan 2024,INKP,8350,8350,8500,8250,8475,125
402,03 Jan 2024,INTP,9425,9425,9450,9300,9300,-125
513,03 Jan 2024,MAPI,1895,1905,1955,1880,1900,5
744,03 Jan 2024,SIDO,510,510,525,505,525,15
864,03 Jan 2024,UNTR,23475,23200,23400,22600,23225,-250
865,03 Jan 2024,UNVR,3550,3550,3560,3520,3530,-20
4,04 Jan 2024,ACES,715,715,745,715,735,20
37,04 Jan 2024,AMRT,2820,2830,2870,2820,2870,50
60,04 Jan 2024,ASII,5600,5600,5750,5600,5700,100
361,04 Jan 2024,HRUM,1355,1360,1410,1360,1385,30
394,04 Jan 2024,INKP,8475,8525,8525,8350,8425,-50
402,04 Jan 2024,INTP,9300,9275,9400,9275,9325,25
513,04 Jan 2024,MAPI,1900,1910,1930,1865,1885,-15
744,04 Jan 2024,SIDO,525,525,525,515,520,-5
864,04 Jan 2024,UNTR,23225,23225,23500,23225,23275,50
865,04 Jan 2024,UNVR,3530,3530,3560,3520,3520,-10
4,05 Jan 2024,ACES,735,740,760,735,750,15
37,05 Jan 2024,AMRT,2870,2870,2870,2790,2790,-80
60,05 Jan 2024,ASII,5700,5725,5750,5625,5625,-75
362,05 Jan 2024,HRUM,1385,1385,1405,1370,1375,-10
395,05 Jan 2024,INKP,8425,8425,8450,8325,8375,-50
403,05 Jan 2024,INTP,9325,9325,9375,9225,9225,-100
514,05 Jan 2024,MAPI,1885,1885,1895,1785,1795,-90
745,05 Jan 2024,SIDO,520,520,525,515,520,0
865,05 Jan 2024,UNTR,23275,23500,23550,23250,23250,-25
