,stock_code,date,prev,open,high,low,close,change
0,ASII,2024-01-02,5650,5625,5700,5575,5700,50
1,ASII,2024-01-03,5700,5700,5700,5600,5600,-100
2,ASII,2024-01-04,5600,5600,5750,5600,5700,100
3,ASII,2024-01-05,5700,5725,5750,5625,5625,-75
4,ASII,2024-01-08,5625,5625,5675,5550,5575,-50
5,ASII,2024-01-09,5575,5600,5600,5525,5575,0
6,ASII,2024-01-10,5575,5500,5575,5450,5525,-50
7,ASII,2024-01-10,5575,5500,5575,5450,5525,-50
8,ASII,2024-01-11,5525,5550,5625,5525,5550,25
9,ASII,2024-01-12,5550,5550,5625,5550,5600,50
10,ASII,2024-01-15,5600,5600,5625,5500,5525,-75
11,ASII,2024-01-16,5525,5525,5525,5475,5500,-25
12,ASII,2024-01-17,5500,5500,5525,5350,5400,-100
13,ASII,2024-01-18,5400,5400,5400,5325,5375,-25
14,ASII,2024-01-19,5375,5375,5400,5300,5350,-25
15,ASII,2024-01-22,5350,5350,5425,5225,5225,-125
16,ASII,2024-01-23,5225,5150,5200,5075,5125,-100
17,ASII,2024-01-24,5125,5150,5175,4980,5075,-50
18,ASII,2024-01-25,5075,5075,5150,5025,5050,-25
19,ASII,2024-01-26,5050,5050,5075,4990,5075,25
20,ASII,2024-01-29,5075,5075,5075,4910,4930,-145
21,ASII,2024-01-30,4930,4920,5175,4900,5100,170
22,ASII,2024-01-31,5100,5125,5150,5050,5125,25
23,ASII,2024-02-01,5125,5100,5175,5075,5125,0
24,ASII,2024-02-02,5125,5150,5325,5125,5325,200
25,ASII,2024-02-05,5325,5325,5350,5150,5175,-150
26,ASII,2024-02-06,5175,5175,5275,5150,5250,75
27,ASII,2024-02-07,5250,5250,5325,5250,5325,75
28,ASII,2024-02-12,5325,5300,5350,5225,5300,-25
29,ASII,2024-02-13,5300,5300,5300,5150,5200,-100
30,ASII,2024-02-15,5200,5325,5325,5075,5125,-75
31,ASII,2024-02-16,5125,5125,5200,5100,5200,75
32,ASII,2024-02-19,5200,5200,5250,5075,5125,-75
33,ASII,2024-02-20,5125,5125,5250,5125,5200,75
34,ASII,2024-02-21,5200,5200,5300,5175,5250,50
35,ASII,2024-02-22,5250,5275,5300,5275,5275,25
36,ASII,2024-02-23,5275,5250,5275,5100,5125,-150
37,ASII,2024-02-26,5125,5150,5200,5075,5125,0
38,ASII,2024-02-27,5125,5125,5175,5050,5175,50
39,ASII,2024-02-28,5175,5325,5425,5200,5225,50
40,ASII,2024-02-29,5225,5250,5300,5200,5225,0
41,ASII,2024-03-01,5225,5225,5275,5150,5225,0
42,ASII,2024-03-04,5225,5250,5275,5175,5200,-25
43,ASII,2024-03-05,5200,5225,5225,5100,5100,-100
