,stock_code,date,prev,open,high,low,close,change
0,HRUM,2024-01-02,1335,1335,1380,1330,1380,45
1,HRUM,2024-01-03,1380,1355,1380,1340,1355,-25
2,HRUM,2024-01-04,1355,1360,1410,1360,1385,30
3,HRUM,2024-01-05,1385,1385,1405,1370,1375,-10
4,HRUM,2024-01-08,1375,1380,1410,1375,1380,5
5,HRUM,2024-01-09,1380,1380,1385,1340,1345,-35
6,HRUM,2024-01-10,1345,1360,1380,1355,1360,15
7,HRUM,2024-01-10,1345,1360,1380,1355,1360,15
8,HRUM,2024-01-11,1360,1350,1360,1340,1345,-15
9,HRUM,2024-01-12,1345,1345,1360,1330,1350,5
10,HRUM,2024-01-15,1350,1360,1375,1335,1340,-10
11,HRUM,2024-01-16,1340,1340,1350,1330,1335,-5
12,HRUM,2024-01-17,1335,1340,1345,1310,1325,-10
13,HRUM,2024-01-18,1325,1320,1330,1310,1310,-15
14,HRUM,2024-01-19,1310,1315,1330,1300,1315,5
15,HRUM,2024-01-22,1315,1315,1320,1275,1285,-30
16,HRUM,2024-01-23,1285,1285,1290,1225,1235,-50
17,HRUM,2024-01-24,1235,1235,1240,1135,1150,-85
18,HRUM,2024-01-25,1150,1150,1215,1150,1180,30
19,HRUM,2024-01-26,1180,1180,1185,1150,1155,-25
20,HRUM,2024-01-29,1155,1155,1170,1120,1150,-5
21,HRUM,2024-01-30,1150,1160,1270,1155,1200,50
22,HRUM,2024-01-31,1200,1220,1230,1160,1175,-25
23,HRUM,2024-02-01,1175,1175,1205,1160,1190,15
24,HRUM,2024-02-02,1190,1195,1195,1155,1180,-10
25,HRUM,2024-02-05,1180,1180,1185,1155,1155,-25
26,HRUM,2024-02-06,1155,1160,1175,1125,1140,-15
27,HRUM,2024-02-07,1140,1140,1140,1090,1105,-35
28,HRUM,2024-02-12,1105,1105,1135,1075,1115,10
29,HRUM,2024-02-13,1115,1130,1150,1110,1135,20
30,HRUM,2024-02-15,1135,1165,1220,1160,1190,55
31,HRUM,2024-02-16,1190,1190,1190,1155,1175,-15
32,HRUM,2024-02-19,1175,1175,1180,1145,1175,0
33,HRUM,2024-02-20,1175,1175,1185,1160,1175,0
34,HRUM,2024-02-21,1175,1175,1205,1155,1155,-20
35,HRUM,2024-02-22,1155,1160,1215,1155,1210,55
36,HRUM,2024-02-23,1210,1230,1235,1205,1225,15
37,HRUM,2024-02-26,1225,1225,1230,1200,1220,-5
38,HRUM,2024-02-27,1220,1235,1240,1190,1200,-20
39,HRUM,2024-02-28,1200,1220,1235,1205,1230,30
40,HRUM,2024-02-29,1230,1240,1265,1215,1250,20
41,HRUM,2024-03-01,1250,1255,1280,1235,1260,10
42,HRUM,2024-03-04,1260,1260,1270,1245,1260,0
43,HRUM,2024-03-05,1260,1260,1285,1240,1240,-20
44,HRUM,2024-03-06,1240,1240,1275,1210,1265,25
45,HRUM,2024-03-07,1265,1265,1335,1245,1320,55
46,HRUM,2024-03-08,1320,1325,1335,1275,1295,-25
47,HRUM,2024-03-13,1295,1300,1375,1290,1360,65
48,HRUM,2024-03-14,1360,1365,1390,1345,1380,20
49,HRUM,2024-03-15,1380,1390,1420,1370,1410,30
50,HRUM,2024-03-18,1410,1410,1445,1370,1440,30
51,HRUM,2024-03-19,1440,1440,1445,1390,1395,-45
52,HRUM,2024-03-20,1395,1395,1415,1345,1365,-30
53,HRUM,2024-03-21,1365,1365,1395,1355,1390,25
54,HRUM,2024-03-22,1390,1390,1395,1345,1385,-5
55,HRUM,2024-03-25,1385,1385,1385,1345,1355,-30
56,HRUM,2024-03-26,1355,1360,1365,1325,1335,-20
57,HRUM,2024-03-27,1335,1340,1390,1330,1380,45
58,HRUM,2024-03-28,1380,1390,1400,1335,1350,-30
59,HRUM,2024-04-01,1350,1350,1365,1330,1355,5
60,HRUM,2024-04-02,1355,1355,1435,1355,1425,70
61,HRUM,2024-04-03,1425,1430,1540,1430,1470,45
62,HRUM,2024-04-04,1470,1475,1510,1445,1455,-15
63,HRUM,2024-04-05,1455,1460,1470,1415,1440,-15
64,HRUM,2024-04-16,1440,1450,1580,1430,1565,125
65,HRUM,2024-04-17,1565,1565,1580,1535,1565,0
66,HRUM,2024-04-18,1565,1570,1590,1345,1370,-195
67,HRUM,2024-04-19,1370,1375,1395,1270,1290,-80
68,HRUM,2024-04-22,1290,1300,1360,1290,1335,45
69,HRUM,2024-04-23,1335,1335,1375,1335,1355,20
70,HRUM,2024-04-24,1355,1365,1375,1300,1300,-55
71,HRUM,2024-04-25,1300,1300,1325,1275,1320,20
72,HRUM,2024-04-26,1320,1320,1325,1285,1300,-20
73,HRUM,2024-04-29,1300,1300,1395,1290,1390,90
74,HRUM,2024-04-30,1390,1390,1420,1375,1410,20
75,HRUM,2024-05-02,1410,1425,1425,1350,1350,-60
76,HRUM,2024-05-03,1350,1365,1395,1345,1375,25
77,HRUM,2024-05-06,1375,1390,1415,1370,1385,10
78,HRUM,2024-05-07,1385,1390,1405,1380,1400,15
79,HRUM,2024-05-08,1400,1405,1410,1345,1345,-55
80,HRUM,2024-05-13,1345,1355,1360,1320,1345,0
81,HRUM,2024-05-14,1345,1345,1360,1330,1345,0
82,HRUM,2024-05-15,1345,1345,1345,1295,1305,-40
83,HRUM,2024-05-16,1305,1315,1320,1285,1300,-5
84,HRUM,2024-05-17,1300,1310,1400,1310,1395,95
85,HRUM,2024-05-20,1395,1415,1445,1395,1410,15
86,HRUM,2024-05-21,1410,1410,1415,1355,1365,-45
87,HRUM,2024-05-22,1365,1365,1365,1325,1330,-35
88,HRUM,2024-05-27,1330,1340,1345,1305,1320,-10
89,HRUM,2024-05-28,1320,1320,1390,1320,1385,65
90,HRUM,2024-05-29,1385,1390,1410,1370,1385,0
91,HRUM,2024-05-30,1385,1400,1400,1335,1365,-20
92,HRUM,2024-05-31,1365,1365,1410,1340,1400,35
93,HRUM,2023-01-02,1620,1620,1635,1610,1620,0
94,HRUM,2023-01-03,1620,1630,1660,1620,1645,25
95,HRUM,2023-01-04,1645,1660,1665,1620,1625,-20
96,HRUM,2023-01-05,1625,1605,1610,1520,1530,-95
97,HRUM,2023-01-06,1530,1500,1555,1480,1520,-10
98,HRUM,2023-01-09,1520,1540,1585,1515,1575,55
