,stock_code,date,prev,open,high,low,close,change
0,INTP,2024-01-02,9400,9400,9500,9375,9425,25
1,INTP,2024-01-03,9425,9425,9450,9300,9300,-125
2,INTP,2024-01-04,9300,9275,9400,9275,9325,25
3,INTP,2024-01-05,9325,9325,9375,9225,9225,-100
4,INTP,2024-01-08,9225,9225,9275,9175,9225,0
5,INTP,2024-01-09,9225,0,9250,9150,9150,-75
6,INTP,2024-01-10,9150,9150,9250,9150,9150,0
7,INTP,2024-01-10,9150,9150,9250,9150,9150,0
8,INTP,2024-01-11,9150,9225,9350,9200,9300,150
9,INTP,2024-01-12,9300,9350,9350,9250,9275,-25
10,INTP,2024-01-15,9275,9275,9275,9150,9150,-125
11,INTP,2024-01-16,9150,9225,9325,9175,9275,125
12,INTP,2024-01-17,9275,9300,9300,9150,9175,-100
13,INTP,2024-01-18,9175,9175,9250,9150,9150,-25
14,INTP,2024-01-19,9150,9225,9225,9125,9175,25
15,INTP,2024-01-22,9175,9150,9175,9000,9000,-175
16,INTP,2024-01-23,9000,9000,9075,8925,9050,50
17,INTP,2024-01-24,9050,9050,9225,8950,9225,175
18,INTP,2024-01-25,9225,9175,9250,9075,9100,-125
19,INTP,2024-01-26,9100,9375,9375,9100,9225,125
20,INTP,2024-01-29,9225,9250,9250,9050,9075,-150
21,INTP,2024-01-30,9075,9150,9150,9050,9075,0
22,INTP,2024-01-31,9075,9075,9125,9025,9025,-50
23,INTP,2024-02-01,9025,9025,9050,8925,8925,-100
24,INTP,2024-02-02,8925,8950,9000,8900,8925,0
25,INTP,2024-02-05,8925,8975,9025,8875,8900,-25
26,INTP,2024-02-06,8900,8900,9125,8875,8950,50
27,INTP,2024-02-07,8950,9050,9050,8800,8800,-150
28,INTP,2024-02-12,8800,8800,8975,8800,8900,100
29,INTP,2024-02-13,8900,8900,8900,8725,8725,-175
30,INTP,2024-02-15,8725,8800,9300,8800,9100,375
31,INTP,2024-02-16,9100,9100,9100,8825,8825,-275
32,INTP,2024-02-19,8825,8850,8900,8825,8825,0
33,INTP,2024-02-20,8825,8875,9100,8825,9050,225
34,INTP,2024-02-21,9050,9050,9075,8900,9025,-25
35,INTP,2024-02-22,9025,9025,9100,8975,9075,50
36,INTP,2024-02-23,9075,9075,9075,8900,9050,-25
37,INTP,2024-02-26,9050,9050,9200,8950,9125,75
38,INTP,2024-02-27,9125,9150,9175,8975,9075,-50
39,INTP,2024-02-28,9075,9075,9125,9025,9100,25
40,INTP,2024-02-29,9100,9100,9125,8975,9075,-25
41,INTP,2024-03-01,9075,8975,9175,8950,9175,100
42,INTP,2024-03-04,9175,9125,9125,8975,8975,-200
43,INTP,2024-03-05,8975,9000,9000,8825,8925,-50
44,INTP,2024-03-06,8925,8925,8925,8850,8900,-25
45,INTP,2024-03-07,8900,8850,8900,8750,8750,-150
46,INTP,2024-03-08,8750,8750,8825,8700,8725,-25
47,INTP,2024-03-13,8725,8725,8750,8500,8525,-200
48,INTP,2024-03-14,8525,8575,8775,8575,8700,175
49,INTP,2024-03-15,8700,8775,8775,8625,8625,-75
50,INTP,2024-03-18,8625,8625,8725,8625,8625,0
51,INTP,2024-03-19,8625,8625,8675,8525,8550,-75
52,INTP,2024-03-20,8550,8600,8650,8500,8550,0
53,INTP,2024-03-21,8550,8600,8725,8550,8575,25
54,INTP,2024-03-22,8575,8750,8825,8575,8600,25
55,INTP,2024-03-25,8600,8625,8725,8600,8725,125
56,INTP,2024-03-26,8725,8725,8725,8625,8700,-25
57,INTP,2024-03-27,8700,8700,8775,8650,8750,50
58,INTP,2024-03-28,8750,8750,8775,8600,8750,0
59,INTP,2024-04-01,8750,8750,8925,8625,8925,175
60,INTP,2024-04-02,8925,8800,8825,8700,8825,-100
61,INTP,2024-04-03,8825,8825,8825,8675,8700,-125
62,INTP,2024-04-04,8700,8725,8725,8625,8725,25
63,INTP,2024-04-05,8725,8675,8675,8600,8625,-100
64,INTP,2024-04-16,8625,8600,8775,8550,8775,150
65,INTP,2024-04-17,8775,8775,8775,8450,8450,-325
66,INTP,2024-04-18,8450,8500,8500,8225,8225,-225
67,INTP,2024-04-19,8225,8175,8175,7650,7650,-575
68,INTP,2024-04-22,7650,7700,7850,7650,7725,75
69,INTP,2024-04-23,7725,7775,7900,7750,7825,100
70,INTP,2024-04-24,7825,7825,7850,7675,7675,-150
71,INTP,2024-04-25,7675,7675,7700,7500,7625,-50
72,INTP,2024-04-26,7625,7700,7725,7525,7600,-25
73,INTP,2024-04-29,7600,7600,7700,7575,7625,25
74,INTP,2024-04-30,7625,7650,7900,7650,7750,125
75,INTP,2024-05-02,7750,7550,7625,7100,7225,-525
76,INTP,2024-05-03,7225,7275,7400,7100,7200,-25
77,INTP,2024-05-06,7200,7300,7350,7025,7125,-75
78,INTP,2024-05-07,7125,7100,7100,7025,7075,-50
79,INTP,2024-05-08,7075,7025,7050,6800,6800,-275
80,INTP,2024-05-13,6800,6825,6825,6650,6675,-125
81,INTP,2024-05-14,6675,6725,6775,6575,6625,-50
82,INTP,2024-05-15,6625,6650,6675,6450,6625,0
83,INTP,2024-05-16,6625,6675,6950,6625,6775,150
84,INTP,2024-05-17,6775,6775,6925,6775,6850,75
85,INTP,2024-05-20,6850,6850,6875,6750,6875,25
86,INTP,2024-05-21,6875,6875,7125,6825,7000,125
87,INTP,2024-05-22,7000,7050,7050,6875,7000,0
88,INTP,2024-05-27,7000,6975,6975,6700,6700,-300
89,INTP,2024-05-28,6700,6625,6775,6625,6700,0
90,INTP,2024-05-29,6700,6675,6675,6575,6575,-125
91,INTP,2024-05-30,6575,6575,6575,6375,6475,-100
92,INTP,2024-05-31,6475,6475,6725,6425,6475,0
93,INTP,2023-01-02,9900,9900,9950,9800,9950,50
94,INTP,2023-01-03,9950,9950,9950,9825,9850,-100
95,INTP,2023-01-04,9850,9850,9925,9675,9775,-75
96,INTP,2023-01-05,9775,9775,9825,9550,9625,-150
97,INTP,2023-01-06,9625,9575,10150,9550,10050,425
98,INTP,2023-01-09,10050,10125,10275,10000,10275,225
99,INTP,2023-01-10,10275,10125,10175,10000,10050,-225
