,stock_code,date,prev,open,high,low,close,change
0,MAPI,2024-01-02,1790,1800,1985,1800,1895,105
1,MAPI,2024-01-03,1895,1905,1955,1880,1900,5
2,MAPI,2024-01-04,1900,1910,1930,1865,1885,-15
3,MAPI,2024-01-05,1885,1885,1895,1785,1795,-90
4,MAPI,2024-01-08,1795,1800,1810,1775,1775,-20
5,MAPI,2024-01-09,1775,1780,1895,1780,1855,80
6,MAPI,2024-01-10,1855,1855,1925,1845,1855,0
7,MAPI,2024-01-10,1855,1855,1925,1845,1855,0
8,MAPI,2024-01-11,1855,1860,1870,1830,1845,-10
9,MAPI,2024-01-12,1845,1845,1855,1815,1820,-25
10,MAPI,2024-01-15,1820,1830,1920,1825,1905,85
11,MAPI,2024-01-16,1905,1920,1995,1920,1940,35
12,MAPI,2024-01-17,1940,1940,1965,1885,1900,-40
13,MAPI,2024-01-18,1900,1900,1945,1890,1920,20
14,MAPI,2024-01-19,1920,1920,1960,1905,1945,25
15,MAPI,2024-01-22,1945,1950,2030,1930,1970,25
16,MAPI,2024-01-23,1970,1975,2030,1960,1995,25
17,MAPI,2024-01-24,1995,2000,2010,1985,1995,0
18,MAPI,2024-01-25,1995,1990,1990,1925,1935,-60
19,MAPI,2024-01-26,1935,1910,1915,1855,1875,-60
20,MAPI,2024-01-29,1875,1875,1915,1875,1900,25
21,MAPI,2024-01-30,1900,1910,2030,1910,1970,70
22,MAPI,2024-01-31,1970,1990,2000,1955,1955,-15
23,MAPI,2024-02-01,1955,1960,1980,1930,1960,5
24,MAPI,2024-02-02,1960,1965,1995,1965,1975,15
25,MAPI,2024-02-05,1975,1985,1995,1910,1930,-45
26,MAPI,2024-02-06,1930,1930,1960,1925,1955,25
27,MAPI,2024-02-07,1955,1960,2010,1955,1975,20
28,MAPI,2024-02-12,1975,1980,1990,1955,1965,-10
29,MAPI,2024-02-13,1965,1965,1970,1930,1970,5
30,MAPI,2024-02-15,1970,1980,2050,1970,2000,30
31,MAPI,2024-02-16,2000,2000,2000,1930,1935,-65
32,MAPI,2024-02-19,1935,1935,1955,1850,1900,-35
33,MAPI,2024-02-20,1900,1900,1920,1875,1885,-15
34,MAPI,2024-02-21,1885,1895,1930,1885,1930,45
35,MAPI,2024-02-22,1930,1950,1980,1935,1975,45
36,MAPI,2024-02-23,1975,1975,1975,1930,1955,-20
37,MAPI,2024-02-26,1955,1950,1950,1910,1915,-40
38,MAPI,2024-02-27,1915,1925,1945,1890,1920,5
39,MAPI,2024-02-28,1920,1930,1940,1915,1935,15
40,MAPI,2024-02-29,1935,1935,1935,1920,1920,-15
41,MAPI,2024-03-01,1920,1930,1975,1925,1970,50
42,MAPI,2024-03-04,1970,1975,2030,1965,1990,20
43,MAPI,2024-03-05,1990,1990,1990,1965,1970,-20
44,MAPI,2024-03-06,1970,1970,1980,1950,1975,5
45,MAPI,2024-03-07,1975,1955,1995,1955,1980,5
46,MAPI,2024-03-08,1980,1980,1985,1860,1885,-95
47,MAPI,2024-03-13,1885,1915,1950,1865,1920,35
48,MAPI,2024-03-14,1920,1940,1960,1915,1935,15
49,MAPI,2024-03-15,1935,1940,1965,1930,1930,-5
50,MAPI,2024-03-18,1930,1930,1940,1895,1905,-25
51,MAPI,2024-03-19,1905,1905,1925,1825,1825,-80
52,MAPI,2024-03-20,1825,1825,1840,1780,1815,-10
53,MAPI,2024-03-21,1815,1815,1870,1805,1805,-10
54,MAPI,2024-03-22,1805,1805,1820,1775,1815,10
55,MAPI,2024-03-25,1815,1820,1835,1805,1815,0
56,MAPI,2024-03-26,1815,1815,1830,1805,1825,10
57,MAPI,2024-03-27,1825,1825,1835,1790,1800,-25
58,MAPI,2024-03-28,1800,1805,1820,1790,1820,20
59,MAPI,2024-04-01,1820,1815,1860,1815,1840,20
60,MAPI,2024-04-02,1840,1865,1910,1860,1895,55
61,MAPI,2024-04-03,1895,1900,1905,1840,1860,-35
62,MAPI,2024-04-04,1860,1880,1910,1850,1900,40
63,MAPI,2024-04-05,1900,1900,1925,1885,1890,-10
64,MAPI,2024-04-16,1890,1830,1835,1805,1810,-80
65,MAPI,2024-04-17,1810,1815,1840,1790,1795,-15
66,MAPI,2024-04-18,1795,1800,1830,1770,1775,-20
67,MAPI,2024-04-19,1775,1770,1775,1655,1695,-80
68,MAPI,2024-04-22,1695,1720,1745,1615,1675,-20
69,MAPI,2024-04-23,1675,1685,1690,1620,1635,-40
70,MAPI,2024-04-24,1635,1650,1700,1650,1675,40
71,MAPI,2024-04-25,1675,1680,1680,1625,1635,-40
72,MAPI,2024-04-26,1635,1635,1660,1530,1555,-80
73,MAPI,2024-04-29,1555,1555,1675,1530,1655,100
74,MAPI,2024-04-30,1655,1665,1665,1570,1575,-80
75,MAPI,2024-05-02,1575,1575,1575,1400,1440,-135
76,MAPI,2024-05-03,1440,1450,1510,1430,1485,45
77,MAPI,2024-05-06,1485,1490,1495,1430,1445,-40
78,MAPI,2024-05-07,1445,1450,1460,1405,1405,-40
79,MAPI,2024-05-08,1405,1410,1525,1405,1495,90
80,MAPI,2024-05-13,1495,1490,1540,1450,1525,30
81,MAPI,2024-05-14,1525,1530,1530,1475,1510,-15
82,MAPI,2024-05-15,1510,1510,1515,1480,1510,0
83,MAPI,2024-05-16,1510,1520,1520,1480,1485,-25
84,MAPI,2024-05-17,1485,1475,1505,1455,1490,5
85,MAPI,2024-05-20,1490,1500,1500,1465,1485,-5
86,MAPI,2024-05-21,1485,1495,1495,1405,1405,-80
87,MAPI,2024-05-22,1405,1420,1430,1390,1390,-15
88,MAPI,2024-05-27,1390,1390,1400,1335,1345,-45
89,MAPI,2024-05-28,1345,1350,1355,1315,1345,0
90,MAPI,2024-05-29,1345,1350,1350,1285,1300,-45
91,MAPI,2024-05-30,1300,1300,1310,1270,1295,-5
92,MAPI,2024-05-31,1295,1295,1315,1240,1270,-25
93,MAPI,2023-01-02,1445,0,1530,1400,1415,-30
94,MAPI,2023-01-03,1415,0,1440,1400,1415,0
95,MAPI,2023-01-04,1415,0,1430,1350,1395,-20
96,MAPI,2023-01-05,1395,0,1400,1320,1345,-50
97,MAPI,2023-01-06,1345,0,1370,1300,1300,-45
98,MAPI,2023-01-09,1300,0,1335,1280,1280,-20
99,MAPI,2023-01-10,1280,0,1280,1195,1210,-70
100,MAPI,2023-01-11,1210,0,1320,1210,1290,80
101,MAPI,2023-01-12,1290,0,1320,1265,1290,0
102,MAPI,2023-01-13,1290,0,1300,1270,1295,5
103,MAPI,2023-01-16,1295,0,1335,1270,1320,25
104,MAPI,2023-01-17,1320,0,1365,1320,1350,30
105,MAPI,2023-01-18,1350,0,1375,1305,1335,-15
106,MAPI,2023-01-19,1335,0,1395,1330,1390,55
107,MAPI,2023-01-20,1390,0,1420,1365,1415,25
108,MAPI,2023-01-24,1415,0,1420,1380,1395,-20
109,MAPI,2023-01-25,1395,0,1405,1315,1335,-60
110,MAPI,2023-01-26,1335,0,1345,1295,1310,-25
111,MAPI,2023-01-27,1310,0,1340,1250,1265,-45
112,MAPI,2023-01-30,1265,0,1325,1270,1315,50
113,MAPI,2023-01-31,1315,0,1335,1295,1300,-15
114,MAPI,2023-02-01,1300,0,1470,1300,1390,90
115,MAPI,2023-02-02,1390,0,1440,1390,1400,10
116,MAPI,2023-02-03,1400,0,1435,1385,1385,-15
117,MAPI,2023-02-06,1385,0,1470,1385,1440,55
118,MAPI,2023-02-07,1440,0,1515,1440,1495,55
119,MAPI,2023-02-08,1495,0,1520,1465,1480,-15
120,MAPI,2023-02-09,1480,0,1480,1420,1440,-40
121,MAPI,2023-02-10,1440,0,1455,1430,1440,0
122,MAPI,2023-02-13,1440,0,1600,1435,1575,135
123,MAPI,2023-02-14,1575,0,1575,1520,1520,-55
124,MAPI,2023-02-15,1520,0,1565,1505,1520,0
125,MAPI,2023-02-16,1520,0,1565,1520,1530,10
126,MAPI,2023-02-17,1530,0,1545,1475,1495,-35
127,MAPI,2023-02-20,1495,0,1560,1485,1540,45
128,MAPI,2023-02-21,1540,0,1575,1540,1550,10
129,MAPI,2023-02-22,1550,0,1565,1520,1550,0
130,MAPI,2023-02-23,1550,0,1635,1550,1590,40
131,MAPI,2023-02-24,1590,0,1665,1580,1600,10
132,MAPI,2023-02-27,1600,0,1610,1550,1590,-10
133,MAPI,2023-02-28,1590,0,1590,1510,1510,-80
134,MAPI,2023-03-01,1510,0,1610,1515,1550,40
135,MAPI,2023-03-02,1550,0,1645,1550,1620,70
136,MAPI,2023-03-03,1620,0,1635,1555,1560,-60
137,MAPI,2023-03-06,1560,0,1595,1555,1570,10
138,MAPI,2023-03-07,1570,0,1610,1555,1600,30
139,MAPI,2023-03-08,1600,0,1615,1565,1570,-30
140,MAPI,2023-03-09,1570,0,1575,1495,1520,-50
141,MAPI,2023-03-10,1520,0,1525,1445,1465,-55
142,MAPI,2023-03-13,1465,0,1540,1425,1540,75
143,MAPI,2023-03-14,1540,0,1580,1450,1465,-75
144,MAPI,2023-03-15,1465,0,1570,1470,1545,80
145,MAPI,2023-03-16,1545,0,1600,1495,1600,55
146,MAPI,2023-03-17,1600,0,1635,1565,1600,0
147,MAPI,2023-03-20,1600,0,1600,1515,1525,-75
148,MAPI,2023-03-21,1525,0,1545,1480,1495,-30
149,MAPI,2023-03-24,1495,0,1560,1495,1515,20
150,MAPI,2023-03-27,1515,0,1530,1495,1500,-15
151,MAPI,2023-03-28,1500,0,1620,1500,1600,100
152,MAPI,2023-03-29,1600,0,1680,1585,1625,25
153,MAPI,2023-03-30,1625,0,1650,1515,1540,-85
154,MAPI,2023-03-31,1540,0,1560,1510,1510,-30
155,MAPI,2023-04-03,1510,0,1540,1450,1450,-60
156,MAPI,2023-04-04,1450,0,1475,1400,1400,-50
157,MAPI,2023-04-05,1400,0,1450,1385,1385,-15
158,MAPI,2023-04-06,1385,0,1430,1340,1415,30
159,MAPI,2023-04-10,1415,0,1440,1360,1365,-50
160,MAPI,2023-04-11,1365,0,1385,1325,1330,-35
161,MAPI,2023-04-12,1330,0,1405,1330,1370,40
162,MAPI,2023-04-13,1370,0,1390,1305,1390,20
163,MAPI,2023-04-14,1390,0,1455,1390,1430,40
164,MAPI,2023-04-17,1430,0,1475,1420,1465,35
165,MAPI,2023-04-18,1465,0,1475,1430,1430,-35
166,MAPI,2023-04-26,1430,0,1495,1400,1410,-20
167,MAPI,2023-04-27,1410,0,1410,1365,1370,-40
168,MAPI,2023-04-28,1370,0,1385,1350,1370,0
169,MAPI,2023-05-02,1370,0,1490,1390,1410,40
170,MAPI,2023-05-03,1410,0,1460,1365,1455,45
171,MAPI,2023-05-04,1455,0,1485,1435,1460,5
172,MAPI,2023-05-05,1460,0,1480,1450,1465,5
173,MAPI,2023-05-08,1465,0,1540,1455,1500,35
174,MAPI,2023-05-09,1500,0,1630,1500,1595,95
175,MAPI,2023-05-10,1595,0,1635,1565,1575,-20
176,MAPI,2023-05-11,1575,0,1700,1550,1670,95
177,MAPI,2023-05-12,1670,0,1710,1665,1665,-5
178,MAPI,2023-05-15,1665,0,1730,1660,1730,65
179,MAPI,2023-05-16,1730,0,1740,1675,1700,-30
180,MAPI,2023-05-17,1700,0,1775,1695,1705,5
181,MAPI,2023-05-19,1705,0,1735,1670,1675,-30
182,MAPI,2023-05-22,1675,0,1705,1625,1655,-20
183,MAPI,2023-05-23,1655,0,1790,1655,1770,115
184,MAPI,2023-05-24,1770,0,1790,1705,1760,-10
185,MAPI,2023-05-25,1760,0,1865,1750,1830,70
186,MAPI,2023-05-26,1830,0,1830,1790,1830,0
187,MAPI,2023-05-29,1830,0,1830,1770,1825,-5
188,MAPI,2023-05-30,1825,0,1845,1805,1805,-20
189,MAPI,2023-05-31,1805,0,1855,1755,1775,-30
190,MAPI,2023-06-05,1775,0,1790,1730,1770,-5
191,MAPI,2023-06-06,1770,0,1815,1750,1800,30
192,MAPI,2023-06-07,1800,0,1925,1785,1880,80
193,MAPI,2023-06-08,1880,0,1900,1850,1875,-5
194,MAPI,2023-06-09,1875,0,1940,1850,1900,25
195,MAPI,2023-06-12,1900,0,1925,1860,1885,-15
196,MAPI,2023-06-13,1885,0,1885,1820,1850,-35
197,MAPI,2023-06-14,1850,0,1850,1800,1805,-45
198,MAPI,2023-06-15,1805,0,1855,1810,1815,10
199,MAPI,2023-06-16,1815,0,1830,1765,1800,-15
200,MAPI,2023-06-19,1800,0,1805,1750,1750,-50
201,MAPI,2023-06-20,1750,0,1750,1655,1695,-55
202,MAPI,2023-06-21,1695,0,1745,1680,1740,45
203,MAPI,2023-06-22,1740,0,1765,1685,1685,-55
204,MAPI,2023-06-23,1685,0,1715,1675,1705,20
205,MAPI,2023-06-26,1705,0,1730,1690,1690,-15
206,MAPI,2023-06-27,1690,0,1700,1640,1690,0
207,MAPI,2023-07-03,1690,0,1705,1660,1675,-15
208,MAPI,2023-07-04,1675,0,1740,1675,1715,40
209,MAPI,2023-07-05,1715,0,1720,1680,1700,-15
210,MAPI,2023-07-06,1700,0,1815,1695,1810,110
211,MAPI,2023-07-07,1810,0,1825,1740,1760,-50
212,MAPI,2023-07-10,1760,0,1780,1745,1750,-10
213,MAPI,2023-07-11,1750,0,1805,1710,1805,55
214,MAPI,2023-07-12,1805,0,1900,1785,1860,55
215,MAPI,2023-07-13,1860,0,1880,1780,1785,-75
216,MAPI,2023-07-14,1785,0,1820,1785,1800,15
217,MAPI,2023-07-17,1800,0,1855,1800,1835,35
218,MAPI,2023-07-18,1835,0,1930,1835,1900,65
219,MAPI,2023-07-20,1900,0,1995,1895,1985,85
220,MAPI,2023-07-21,1985,0,2050,1925,1930,-55
221,MAPI,2023-07-24,1930,0,1965,1850,1915,-15
222,MAPI,2023-07-25,1915,0,1940,1890,1910,-5
223,MAPI,2023-07-26,1910,0,1970,1920,1925,15
224,MAPI,2023-07-27,1925,0,2020,1920,2000,75
225,MAPI,2023-07-28,2000,0,2030,1970,2020,20
226,MAPI,2023-07-31,2020,0,2050,1975,1980,-40
227,MAPI,2023-08-01,1980,1990,2030,1960,2030,50
228,MAPI,2023-08-02,2030,2030,2030,1970,1980,-50
229,MAPI,2023-08-03,1980,2010,2010,1925,1930,-50
230,MAPI,2023-08-04,1930,1935,1975,1925,1945,15
231,MAPI,2023-08-07,1945,1950,1970,1930,1935,-10
232,MAPI,2023-08-08,1935,1935,1955,1920,1935,0
233,MAPI,2023-08-09,1935,1945,1970,1930,1945,10
234,MAPI,2023-08-10,1945,1945,1990,1930,1970,25
235,MAPI,2023-08-11,1970,1970,2030,1970,2030,60
236,MAPI,2023-08-14,2030,2030,2070,2000,2020,-10
237,MAPI,2023-08-15,2020,2020,2020,1985,1995,-25
238,MAPI,2023-08-16,1995,1995,1995,1925,1940,-55
239,MAPI,2023-08-18,1940,1945,1975,1875,1910,-30
240,MAPI,2023-08-21,1910,1910,1910,1860,1885,-25
241,MAPI,2023-08-22,1885,1895,1975,1895,1970,85
242,MAPI,2023-08-23,1970,1970,1995,1935,1995,25
243,MAPI,2023-08-24,1995,1995,2040,1955,1955,-40
244,MAPI,2023-08-25,1955,1965,1995,1920,1970,15
245,MAPI,2023-08-28,1970,1975,2020,1945,2010,40
246,MAPI,2023-08-29,2010,2010,2020,1955,1960,-50
247,MAPI,2023-08-30,1960,1965,1985,1950,1960,0
248,MAPI,2023-08-31,1960,1965,1975,1935,1935,-25
249,MAPI,2023-09-01,1935,1940,1985,1940,1975,40
250,MAPI,2023-09-04,1975,1975,1985,1950,1980,5
251,MAPI,2023-09-05,1980,1990,1995,1950,1960,-20
252,MAPI,2023-09-06,1960,1955,1955,1865,1900,-60
253,MAPI,2023-09-07,1900,1900,1905,1815,1840,-60
254,MAPI,2023-09-08,1840,1815,1870,1790,1840,0
255,MAPI,2023-09-11,1840,1850,1900,1830,1885,45
256,MAPI,2023-09-12,1885,1895,1900,1820,1850,-35
257,MAPI,2023-09-13,1850,1850,1870,1830,1845,-5
258,MAPI,2023-09-14,1845,1845,1860,1815,1825,-20
259,MAPI,2023-09-15,1825,1835,1840,1800,1820,-5
260,MAPI,2023-09-18,1820,1820,1820,1775,1795,-25
261,MAPI,2023-09-19,1795,1795,1835,1790,1800,5
262,MAPI,2023-09-20,1800,1800,1845,1790,1825,25
263,MAPI,2023-09-21,1825,1825,1930,1805,1895,70
264,MAPI,2023-09-22,1895,1910,1915,1845,1875,-20
265,MAPI,2023-09-25,1875,1875,1880,1815,1815,-60
266,MAPI,2023-09-26,1815,1820,1865,1820,1850,35
