,stock_code,date,prev,open,high,low,close,change
0,UNVR,2024-01-02,3530,3530,3550,3500,3550,20
1,UNVR,2024-01-03,3550,3550,3560,3520,3530,-20
2,UNVR,2024-01-04,3530,3530,3560,3520,3520,-10
3,UNVR,2024-01-05,3520,3540,3580,3520,3520,0
4,UNVR,2024-01-08,3520,3530,3560,3470,3480,-40
5,UNVR,2024-01-09,3480,3480,3490,3420,3430,-50
6,UNVR,2024-01-10,3430,3430,3480,3410,3410,-20
7,UNVR,2024-01-10,3430,3430,3480,3410,3410,-20
8,UNVR,2024-01-11,3410,3450,3450,3410,3410,0
9,UNVR,2024-01-12,3410,3430,3480,3410,3470,60
10,UNVR,2024-01-15,3470,3470,3480,3430,3430,-40
11,UNVR,2024-01-16,3430,3430,3470,3410,3410,-20
12,UNVR,2024-01-17,3410,3440,3440,3310,3320,-90
13,UNVR,2024-01-18,3320,3330,3340,3290,3300,-20
14,UNVR,2024-01-19,3300,3300,3300,3210,3240,-60
15,UNVR,2024-01-22,3240,3220,3240,3120,3120,-120
16,UNVR,2024-01-23,3120,3140,3200,3130,3180,60
17,UNVR,2024-01-24,3180,3180,3220,3150,3200,20
18,UNVR,2024-01-25,3200,3190,3200,3150,3160,-40
19,UNVR,2024-01-26,3160,3160,3170,3130,3160,0
20,UNVR,2024-01-29,3160,3160,3160,3070,3080,-80
21,UNVR,2024-01-30,3080,3080,3130,3010,3130,50
22,UNVR,2024-01-31,3130,3130,3150,3100,3100,-30
23,UNVR,2024-02-01,3100,3100,3130,3090,3100,0
24,UNVR,2024-02-02,3100,3100,3200,3100,3170,70
25,UNVR,2024-02-05,3170,3190,3240,3180,3200,30
26,UNVR,2024-02-06,3200,3220,3270,3170,3250,50
27,UNVR,2024-02-07,3250,3250,3280,3240,3270,20
28,UNVR,2024-02-12,3270,3170,3170,2920,2920,-350
29,UNVR,2024-02-13,2920,2920,2930,2800,2800,-120
30,UNVR,2024-02-15,2800,2860,2940,2830,2930,130
