,model_name,stock,timestep,mse,mae,rmse,r2
0,asii_1_100_0.2_100_8.h5,asii,30,0.009648645249757922,0.07881816142314188,0.09822751778273704,0.8136568707733609
1,asii_1_100_0.2_200_8.h5,asii,30,0.009621773143916658,0.0804364741909401,0.09809063739173407,0.8141758485325957
2,asii_1_100_0_100_8.h5,asii,30,0.011466993401693406,0.08727000172341495,0.10708404830642801,0.7721099328437762
3,asii_1_100_0_200_8.h5,asii,30,0.009891427328103126,0.08128674984292601,0.09945565508357544,0.8089680495940221
4,asii_1_200_0_100_8.h5,asii,7,0.010088117820205062,0.08143906811672968,0.10043962276016902,0.8021534887288901
5,asii_1_300_0_100_8.h5,asii,7,0.01016864038992481,0.08142728100127695,0.10083967666511437,0.8009227189266745
6,asii_5_100_0_100_8.h5,asii,7,0.009769723295469717,0.07966809106171716,0.09884191062231505,0.8113185049888848
7,asii_5_200_0_100_8.h5,asii,7,0.00953825049669273,0.07958617439848382,0.09766396723814126,0.8157889114074475
8,asii_5_300_0_100_8.h5,asii,7,0.010006490305902484,0.08032710176592368,0.10003244626571163,0.8067458520951758
9,amrt_1_100_0.2_100_8.h5,amrt,30,0.017082847399189003,0.09842522881768485,0.13070136724299788,0.8030556638754041
10,amrt_1_100_0.2_200_8.h5,amrt,7,0.01603948568253416,0.09112649636941626,0.12664709109385086,0.81508434831089
11,amrt_1_100_0_100_8.h5,amrt,30,0.016482664650560294,0.09539111254809489,0.1283848302976652,0.8099750368710166
12,amrt_1_100_0_200_8.h5,amrt,30,0.015851784318742703,0.09424718908361476,0.12590386935572195,0.8172483154539405
13,amrt_1_200_0_100_8.h5,amrt,7,0.016844167249736527,0.09534387903528528,0.12978508099830477,0.8058073540639068
14,amrt_1_300_0_100_8.h5,amrt,7,0.015675860396917318,0.09123508579380157,0.1252032763026484,0.8192765030963578
15,amrt_5_100_0_100_8.h5,amrt,7,0.017001180891208605,0.09605611165364572,0.13038857653647656,0.8039971788244036
16,amrt_5_200_0_100_8.h5,amrt,7,0.017882757909921644,0.09316842477242873,0.13372642936204363,0.7938336740739378
17,amrt_5_300_0_100_8.h5,amrt,7,0.01823181714492169,0.09672829567849094,0.13502524632424,0.7898094480360405
18,untr_1_100_0.2_100_32.h5,untr,30,0.009962252238315596,0.07277444817230576,0.09981108274292788,0.8084818687592348
19,untr_1_100_0.2_100_8.h5,untr,30,0.00981517266714978,0.07202960883636787,0.0990715532690882,0.8092950705861873
20,untr_1_100_0.2_200_8.h5,untr,30,0.011788855015484972,0.08064480859731392,0.10857649384413263,0.7589889361782426
21,untr_1_100_0_100_32.h5,untr,30,0.010071669180287035,0.07218886728995196,0.10035770613304708,0.7960682867584559
22,untr_1_100_0_100_8.h5,untr,30,0.010257589078146506,0.07732100761703815,0.10127975650714463,0.7977786091983142
23,untr_1_100_0_200_32.h5,untr,7,0.010311450363631226,0.07370293382487217,0.1015453118742132,0.8087079508165705
24,untr_1_100_0_200_8.h5,untr,30,0.009788706508648753,0.07081424197635136,0.09893789217811724,0.81840559175856
25,untr_1_200_0_100_8.h5,untr,7,0.010047551941744516,0.0728655582914388,0.1002374777303605,0.8085087267118414
26,untr_1_300_0_100_8.h5,untr,7,0.009863469922842167,0.07204724308345509,0.09931500351327673,0.8170186242418032
27,untr_5_100_0_100_8.h5,untr,7,0.010698757655164984,0.07667346004154488,0.10343479905314741,0.8015228504816565
28,untr_5_200_0_100_8.h5,untr,7,0.010684332750957143,0.07701626991115172,0.1033650460792097,0.7957228867712672
29,unvr_1_100_0.2_100_32.h5,unvr,30,0.004764417623047195,0.047170316047989574,0.06902476094161569,0.9369437203011495
