,stock_code,date,prev,open,high,low,close,change
0,ACES,2024-01-02,720,725,730,710,715,-5
1,ACES,2024-01-03,715,720,730,710,715,0
2,ACES,2024-01-04,715,715,745,715,735,20
3,ACES,2024-01-05,735,740,760,735,750,15
4,ACES,2024-01-08,750,750,755,730,735,-15
5,ACES,2024-01-09,735,745,765,725,765,30
6,ACES,2024-01-10,765,765,780,755,770,5
7,ACES,2024-01-10,765,765,780,755,770,5
8,ACES,2024-01-11,770,770,815,765,810,40
9,ACES,2024-01-12,810,810,815,790,810,0
10,ACES,2024-01-15,810,810,815,795,810,0
11,ACES,2024-01-16,810,810,815,800,810,0
12,ACES,2024-01-17,810,810,810,790,800,-10
13,ACES,2024-01-18,800,800,805,790,800,0
14,ACES,2024-01-19,800,800,810,780,800,0
15,ACES,2024-01-22,800,800,815,790,810,10
16,ACES,2024-01-23,810,815,825,805,825,15
17,ACES,2024-01-24,825,825,835,815,825,0
18,ACES,2024-01-25,825,830,835,825,825,0
19,ACES,2024-01-26,825,825,835,810,820,-5
20,ACES,2024-01-29,820,820,835,815,835,15
21,ACES,2024-01-30,835,835,835,820,830,-5
22,ACES,2024-01-31,830,830,850,825,850,20
23,ACES,2024-02-01,850,850,865,835,855,5
24,ACES,2024-02-02,855,855,855,810,820,-35
25,ACES,2024-02-05,820,820,825,800,810,-10
26,ACES,2024-02-06,810,820,845,815,830,20
27,ACES,2024-02-07,830,835,845,820,830,0
28,ACES,2024-02-12,830,830,830,810,815,-15
29,ACES,2024-02-13,815,815,825,810,820,5
30,ACES,2024-02-15,820,825,830,815,825,5
31,ACES,2024-02-16,825,825,825,765,775,-50
32,ACES,2024-02-19,775,775,795,760,760,-15
33,ACES,2024-02-20,760,760,795,760,785,25
34,ACES,2024-02-21,785,790,795,775,795,10
35,ACES,2024-02-22,795,800,850,800,835,40
36,ACES,2024-02-23,835,835,845,830,840,5
37,ACES,2024-02-26,840,840,860,840,850,10
38,ACES,2024-02-27,850,855,855,835,835,-15
39,ACES,2024-02-28,835,845,845,830,830,-5
40,ACES,2024-02-29,830,830,845,820,835,5
41,ACES,2024-03-01,835,840,845,820,825,-10
42,ACES,2024-03-04,825,830,830,810,820,-5
43,ACES,2024-03-05,820,820,825,805,805,-15
44,ACES,2024-03-06,805,810,820,800,800,-5
45,ACES,2024-03-07,800,805,830,805,820,20
46,ACES,2024-03-08,820,820,835,820,825,5
47,ACES,2024-03-13,825,830,850,830,835,10
48,ACES,2024-03-14,835,835,845,820,840,5
49,ACES,2024-03-15,840,840,845,830,835,-5
50,ACES,2024-03-18,835,835,845,825,825,-10
51,ACES,2024-03-19,825,825,855,825,845,20
