,stock_code,date,prev,open,high,low,close,change
0,AMRT,2024-01-02,2930,2930,2940,2840,2890,-40
1,AMRT,2024-01-03,2890,2860,2890,2800,2820,-70
2,AMRT,2024-01-04,2820,2830,2870,2820,2870,50
3,AMRT,2024-01-05,2870,2870,2870,2790,2790,-80
4,AMRT,2024-01-08,2790,2790,2820,2790,2800,10
5,AMRT,2024-01-09,2800,2810,2820,2730,2740,-60
6,AMRT,2024-01-10,2740,2780,2790,2710,2750,10
7,AMRT,2024-01-10,2740,2780,2790,2710,2750,10
8,AMRT,2024-01-11,2750,2790,2790,2710,2710,-40
9,AMRT,2024-01-12,2710,2710,2710,2610,2640,-70
10,AMRT,2024-01-15,2640,2640,2650,2570,2630,-10
11,AMRT,2024-01-16,2630,2640,2700,2630,2670,40
12,AMRT,2024-01-17,2670,2670,2680,2630,2650,-20
13,AMRT,2024-01-18,2650,2650,2680,2650,2650,0
14,AMRT,2024-01-19,2650,2670,2700,2640,2640,-10
15,AMRT,2024-01-22,2640,2670,2700,2640,2680,40
16,AMRT,2024-01-23,2680,2700,2730,2650,2720,40
17,AMRT,2024-01-24,2720,2720,2720,2650,2670,-50
18,AMRT,2024-01-25,2670,2690,2700,2650,2670,0
19,AMRT,2024-01-26,2670,2660,2670,2620,2630,-40
20,AMRT,2024-01-29,2630,2640,2690,2620,2690,60
21,AMRT,2024-01-30,2690,2670,2680,2630,2650,-40
22,AMRT,2024-01-31,2650,2660,2690,2630,2650,0
23,AMRT,2024-02-01,2650,2650,2670,2640,2650,0
24,AMRT,2024-02-02,2650,2650,2670,2640,2650,0
25,AMRT,2024-02-05,2650,2650,2660,2600,2600,-50
26,AMRT,2024-02-06,2600,2620,2640,2600,2600,0
27,AMRT,2024-02-07,2600,2610,2650,2600,2630,30
28,AMRT,2024-02-12,2630,2610,2640,2490,2580,-50
29,AMRT,2024-02-13,2580,2570,2630,2510,2610,30
30,AMRT,2024-02-15,2610,2730,2740,2650,2700,90
31,AMRT,2024-02-16,2700,2730,2800,2710,2770,70
32,AMRT,2024-02-19,2770,2770,2780,2730,2750,-20
33,AMRT,2024-02-20,2750,2750,2790,2730,2790,40
34,AMRT,2024-02-21,2790,2790,2810,2670,2770,-20
35,AMRT,2024-02-22,2770,2760,2760,2710,2750,-20
36,AMRT,2024-02-23,2750,2750,2750,2660,2680,-70
37,AMRT,2024-02-26,2680,2700,2710,2650,2690,10
38,AMRT,2024-02-27,2690,2650,2680,2630,2660,-30
39,AMRT,2024-02-28,2660,2670,2710,2650,2700,40
40,AMRT,2024-02-29,2700,2710,2750,2700,2750,50
41,AMRT,2024-03-01,2750,2750,2750,2700,2720,-30
42,AMRT,2024-03-04,2720,2740,2770,2710,2750,30
43,AMRT,2024-03-05,2750,2750,2760,2720,2720,-30
44,AMRT,2024-03-06,2720,2740,2770,2720,2750,30
45,AMRT,2024-03-07,2750,2730,2790,2730,2760,10
46,AMRT,2024-03-08,2760,2760,2810,2750,2790,30
47,AMRT,2024-03-13,2790,2810,2840,2790,2820,30
