,stock_code,date,prev,open,high,low,close,change
0,INKP,2024-01-02,8325,8325,8500,8250,8350,25
1,INKP,2024-01-03,8350,8350,8500,8250,8475,125
2,INKP,2024-01-04,8475,8525,8525,8350,8425,-50
3,INKP,2024-01-05,8425,8425,8450,8325,8375,-50
4,INKP,2024-01-08,8375,8375,8450,8125,8125,-250
5,INKP,2024-01-09,8125,8150,8225,8000,8000,-125
6,INKP,2024-01-10,8000,7950,8225,7950,8000,0
7,INKP,2024-01-10,8000,7950,8225,7950,8000,0
8,INKP,2024-01-11,8000,8000,8150,8000,8050,50
9,INKP,2024-01-12,8050,8075,8150,8050,8100,50
10,INKP,2024-01-15,8100,8100,8175,8075,8175,75
11,INKP,2024-01-16,8175,8150,8225,8075,8100,-75
12,INKP,2024-01-17,8100,8100,8125,7925,7975,-125
13,INKP,2024-01-18,7975,7975,8050,7975,7975,0
14,INKP,2024-01-19,7975,8050,8050,7900,8000,25
15,INKP,2024-01-22,8000,8050,8050,7800,7925,-75
16,INKP,2024-01-23,7925,7925,7950,7600,7675,-250
17,INKP,2024-01-24,7675,7725,7875,7675,7775,100
18,INKP,2024-01-25,7775,7775,7775,7600,7600,-175
19,INKP,2024-01-26,7600,7600,7950,7600,7900,300
20,INKP,2024-01-29,7900,7950,7950,7850,7900,0
21,INKP,2024-01-30,7900,7900,7900,7675,7700,-200
22,INKP,2024-01-31,7700,7725,7825,7650,7825,125
23,INKP,2024-02-01,7825,7775,7800,7650,7700,-125
24,INKP,2024-02-02,7700,7700,8200,7650,8125,425
25,INKP,2024-02-05,8125,8150,8175,7900,7900,-225
26,INKP,2024-02-06,7900,7950,8075,7875,8000,100
27,INKP,2024-02-07,8000,8000,8150,7950,7950,-50
28,INKP,2024-02-12,7950,7975,8000,7800,7850,-100
29,INKP,2024-02-13,7850,7950,8025,7850,7950,100
30,INKP,2024-02-15,7950,8050,8150,7825,7875,-75
31,INKP,2024-02-16,7875,7900,8050,7875,7975,100
32,INKP,2024-02-19,7975,8000,8025,7850,7850,-125
33,INKP,2024-02-20,7850,7900,7925,7700,7725,-125
34,INKP,2024-02-21,7725,7775,7775,7700,7775,50
35,INKP,2024-02-22,7775,7800,7925,7725,7900,125
36,INKP,2024-02-23,7900,7975,7975,7825,7925,25
37,INKP,2024-02-26,7925,7950,7975,7825,7900,-25
38,INKP,2024-02-27,7900,7900,7925,7750,7800,-100
39,INKP,2024-02-28,7800,7825,8125,7750,8125,325
40,INKP,2024-02-29,8125,8150,8850,8125,8725,600
41,INKP,2024-03-01,8725,8725,9100,8525,8975,250
42,INKP,2024-03-04,8975,8950,8950,8625,8725,-250
43,INKP,2024-03-05,8725,8725,8800,8450,8575,-150
44,INKP,2024-03-06,8575,8575,8600,8250,8300,-275
45,INKP,2024-03-07,8300,8300,8500,8250,8375,75
46,INKP,2024-03-08,8375,8400,8450,8300,8325,-50
47,INKP,2024-03-13,8325,8400,8625,8350,8500,175
48,INKP,2024-03-14,8500,8550,8600,8325,8600,100
49,INKP,2024-03-15,8600,8600,8625,8450,8550,-50
50,INKP,2024-03-18,8550,8550,9225,8550,9150,600
