,stock_code,date,prev,open,high,low,close,change
0,UNTR,2024-01-02,22625,22600,23575,22600,23475,850
1,UNTR,2024-01-03,23475,23200,23400,22600,23225,-250
2,UNTR,2024-01-04,23225,23225,23500,23225,23275,50
3,UNTR,2024-01-05,23275,23500,23550,23250,23250,-25
4,UNTR,2024-01-08,23250,23300,23525,23000,23025,-225
5,UNTR,2024-01-09,23025,23200,23350,23025,23100,75
6,UNTR,2024-01-10,23100,23100,23450,23100,23300,200
7,UNTR,2024-01-10,23100,23100,23450,23100,23300,200
8,UNTR,2024-01-11,23300,23350,23450,23250,23300,0
9,UNTR,2024-01-12,23300,23350,23925,23325,23900,600
10,UNTR,2024-01-15,23900,23900,24750,23900,24725,825
11,UNTR,2024-01-16,24725,24750,24800,24375,24600,-125
12,UNTR,2024-01-17,24600,25000,25000,24200,24225,-375
13,UNTR,2024-01-18,24225,24225,24550,24050,24100,-125
14,UNTR,2024-01-19,24100,24200,24300,23825,24075,-25
15,UNTR,2024-01-22,24075,24075,24075,23225,23250,-825
16,UNTR,2024-01-23,23250,23275,23425,22400,22700,-550
17,UNTR,2024-01-24,22700,22800,22850,22325,22550,-150
18,UNTR,2024-01-25,22550,22475,23250,22475,23125,575
19,UNTR,2024-01-26,23125,23150,23250,22925,22975,-150
20,UNTR,2024-01-29,22975,23025,23325,23025,23325,350
21,UNTR,2024-01-30,23325,23325,23325,22800,22850,-475
22,UNTR,2024-01-31,22850,23025,23200,22875,22950,100
23,UNTR,2024-02-01,22950,22925,23075,22575,22800,-150
24,UNTR,2024-02-02,22800,22850,22950,22725,22850,50
25,UNTR,2024-02-05,22850,22850,22925,22675,22675,-175
26,UNTR,2024-02-06,22675,22700,22975,22700,22800,125
27,UNTR,2024-02-07,22800,22850,23100,22825,22900,100
28,UNTR,2024-02-12,22900,22900,23325,22900,23225,325
29,UNTR,2024-02-13,23225,23225,23450,23050,23150,-75
30,UNTR,2024-02-15,23150,23325,23450,23125,23200,50
31,UNTR,2024-02-16,23200,23250,23400,23100,23250,50
32,UNTR,2024-02-19,23250,23250,23275,22900,22950,-300
33,UNTR,2024-02-20,22950,22975,23075,22750,22900,-50
34,UNTR,2024-02-21,22900,22925,23175,22900,23025,125
35,UNTR,2024-02-22,23025,23075,23150,23000,23125,100
36,UNTR,2024-02-23,23125,23150,23150,22800,22800,-325
37,UNTR,2024-02-26,22800,22900,23100,22875,23000,200
38,UNTR,2024-02-27,23000,23000,23850,22825,23850,850
